"Package","Version","Description"
"admiral","1.3.0","This R package provides tools for programming Clinical Data Interchange Standards Consortium (CDISC) compliant Analysis Data Model (ADaM) datasets, essential for regulatory submissions to the FDA."
"admiraldev","1.3.1","The package provides utility functions for checking data, variables, and conditions used in 'admiral' and its extension packages, along with additional tools for documentation, testing, and maintenance assistance for developers."
"assertthat","0.2.1","This package enhances the functionality of stopifnot() by allowing users to easily define pre and post conditions for their code, while providing clear and user-friendly error messages when those conditions are not met."
"backports","1.5.0","This package provides re-implementations of functions introduced or modified since R version 3.0.0 as backports, allowing developers to selectively use new functionality while maintaining compatibility with older R installations."
"base64enc","0.1-3","This package offers flexible tools for handling base64 encoding, surpassing the capabilities of the now-unmaintained base64 package."
"bit","4.6.0","This package provides efficient methods for handling boolean and skewed boolean vectors, performing fast integer sorting and set operations, and includes foundational tools for range indexing and chunked processing."
"bit64","4.6.0-1","The 'bit64' package provides support for 64-bit signed integers in R, enabling precise handling of large numbers, particularly for database keys and exact counting, while ensuring compatibility with various data structures and methods."
"brew","1.0-10","This package implements a templating framework that allows users to seamlessly integrate text and R code for generating reports, using a syntax similar to various popular templating languages."
"broom","1.0.8","The broom package in R streamlines the summarization of statistical models by providing functions that extract model components, overall fit metrics, and individual observation details, making it easier to report results and create visualizations from multiple models."
"cachem","1.1.0","This package provides key-value store functionality with automatic pruning capabilities, allowing users to impose constraints on total size and the age of the oldest object while automatically managing cache contents."
"callr","3.7.6","This package allows users to perform computations in an isolated R process, ensuring that the current R environment remains unaffected."
"cellranger","1.1.0","This package provides helper functions for working with spreadsheets, specifically for handling cell range specifications in the ""A1:D10"" format."
"checkmate","2.3.2","This package provides tools for efficiently performing frequent argument checks, with a significant portion of its code implemented in C to ensure minimal impact on execution time."
"cli","3.6.5","This package provides a comprehensive suite of tools for creating visually appealing command line interfaces (CLIs) using semantic elements, custom theming, and ANSI color support, along with lower level CLI components."
"clipr","0.8.0","This package provides simple utility functions for reading from and writing to the clipboard across Windows, OS X, and X11 systems."
"commonmark","2.0.0","This package provides a CommonMark-compliant Markdown parser that converts Markdown text into various formats such as HTML, LaTeX, and groff man, while also exposing the parse tree in XML and supporting GitHub Flavored Markdown (GFM) extensions like tables and strikethrough."
"cowplot","1.2.0","This package enhances the creation of publication-quality figures using 'ggplot2' by providing themes, alignment and arrangement functions, and annotation tools, originally developed for internal use in the Wilke lab."
"cpp11","0.5.2","The 'cpp11' package offers a C++11 interface to R's C API, ensuring safety against long jumps and exceptions while conforming to R function semantics and supporting 'ALTREP' vectors."
"crayon","1.5.3","The crayon package provides colored terminal output with ANSI support, allowing for customizable styles and highlighting, and is intended for use in R projects, though it is now superseded by the 'cli' package."
"curl","6.4.0","This package provides bindings to 'libcurl' for performing fully configurable HTTP/FTP requests, enabling users to process responses in various ways, including in memory, on disk, or through streaming."
"datasetjson","0.3.0","This package enables users to read, build, and export CDISC Dataset JSON files while ensuring compliance with the Dataset JSON schema for validation purposes."
"desc","1.4.3","This package provides tools to read, write, create, and manipulate DESCRIPTION files, facilitating the management of R packages."
"diffdf","1.1.1","This package provides functions to compare two data.frames, delivering a comprehensive analysis of their differences and offering utilities to identify the sources of discrepancies."
"digest","0.6.37","This R package provides a function `digest()` for generating hash digests of various R objects using multiple algorithms, facilitating easy comparison of objects, along with an `hmac()` function for creating hash-based message authentication codes, while not intended for cryptographic use."
"dplyr","1.1.4","This package provides a rapid and reliable framework for efficiently handling data frames and similar objects, capable of processing data both in-memory and out-of-memory."
