Package,Version
admiral,1.3.0
admiraldev,1.3.1
assertthat,0.2.1
backports,1.5.0
base64enc,0.1-3
bit,4.6.0
bit64,4.6.0-1
brew,1.0-10
broom,1.0.8
cachem,1.1.0
callr,3.7.6
cellranger,1.1.0
checkmate,2.3.2
cli,3.6.5
clipr,0.8.0
commonmark,2.0.0
cowplot,1.2.0
cpp11,0.5.2
crayon,1.5.3
curl,6.4.0
datasetjson,0.3.0
desc,1.4.3
diffdf,1.1.1
digest,0.6.37
dplyr,1.1.4
emmeans,1.11.2
estimability,1.5.1
evaluate,1.0.4
fansi,1.0.6
farver,2.1.2
fastmap,1.2.0
forcats,1.0.0
formatters,0.5.11
fs,1.6.6
generics,0.1.4
ggplot2,3.5.2
ggsurvfit,1.1.0
glue,1.8.0
gtable,0.3.6
haven,2.5.5
highr,0.11
hms,1.1.3
htmltools,0.5.8.1
huxtable,5.6.0
isoband,0.2.7
janitor,2.2.1
jsonlite,2.0.0
jsonvalidate,1.5.0
knitr,1.50
labeling,0.4.3
lattice,0.22-7
lifecycle,1.0.4
lubridate,1.9.4
magrittr,2.0.3
MASS,7.3-65
Matrix,1.7-3
memoise,2.0.1
metacore,0.2.0
metatools,0.1.6
mgcv,1.9-3
mvtnorm,1.3-3
nlme,3.1-168
numDeriv,2016.8-1.1
patchwork,1.3.1
pharmaRTF,0.1.4
pillar,1.11.0
pkgbuild,1.4.8
pkgconfig,2.0.3
pkgload,1.4.0
prettyunits,1.2.0
processx,3.8.6
progress,1.2.3
ps,1.9.1
purrr,1.1.0
r2rtf,1.1.4
R6,2.6.1
RColorBrewer,1.1-3
Rcpp,1.1.0
readr,2.1.5
readxl,1.4.5
rematch,2.0.0
renv,1.1.4
rlang,1.1.6
roxygen2,7.3.2
rprojroot,2.1.0
rtables,0.6.13
scales,1.4.0
snakecase,0.11.1
stringi,1.8.7
stringr,1.5.1
survival,3.8-3
tibble,3.3.0
tidyr,1.3.1
tidyselect,1.2.1
timechange,0.3.0
Tplyr,1.2.1
tzdb,0.5.0
utf8,1.2.6
V8,6.0.4
vctrs,0.6.5
viridisLite,0.4.2
vroom,1.6.5
withr,3.0.2
xfun,0.52
xml2,1.3.8
xportr,0.4.3
yaml,2.3.10
yyjsonr,0.1.21
